strain	teloname	xy	n	rho	pval	TeloMedLen	meanRT
wt	TEL01L	X	815	0.024	0.49	278	1.03
wt	TEL01R	XY'	793	-0.0092	0.8	265	1.02
wt	TEL02L	XY'	759	-0.1	0.0041	312	1.39
wt	TEL02R	XY'	786	-0.03	0.4	278	1.12
wt	TEL03L	X	648	0.051	0.2	323	0.996
wt	TEL03R	XY'	766	-0.061	0.089	309	1.09
wt	TEL04L	X	791	-0.0065	0.85	282	1.04
wt	TEL04R	XY'	774	-0.067	0.061	254	1.05
wt	TEL05L	XY'	783	-0.098	0.006	305	1.06
wt	TEL05R	XY'	791	-0.072	0.042	313	1.25
wt	TEL06L	XY'	755	-0.0016	0.97	284	1.05
wt	TEL06R	X	932	-0.0032	0.92	274	1.11
wt	TEL07L	X	798	0.032	0.36	288	1.02
wt	TEL07R	XY'	815	-0.031	0.38	294	1.26
wt	TEL08L	XY'	774	-0.05	0.16	292	1.16
wt	TEL08R	X	850	0.096	0.0049	276	1.07
wt	TEL09L	XY'	787	-0.086	0.015	309	1.19
wt	TEL09R	X	693	-0.037	0.33	347	1.17
wt	TEL10L	XY'	756	-0.063	0.085	313	1.09
wt	TEL10R	X	836	-0.015	0.65	248	1.04
wt	TEL11L	X	806	-0.05	0.15	276	1.02
wt	TEL11R	X	847	0.011	0.76	240	1.06
wt	TEL12L	XY'	786	-0.074	0.037	295	1.08
wt	TEL12R	XY'	758	0.01	0.78	264	1.15
wt	TEL13L	X	731	0.018	0.62	328	1.12
wt	TEL13R	XY'	808	-0.012	0.73	282	1.38
wt	TEL14L	XY'	850	0.022	0.52	260	1.03
wt	TEL14R	XY'	813	-0.066	0.06	309	1.29
wt	TEL15L	X	754	0.027	0.45	305	1.02
wt	TEL15R	XY'	786	-0.079	0.026	302	1.22
wt	TEL16L	XY'	829	-0.044	0.2	281	1.23
wt	TEL16R	XY'	772	0.01	0.78	253	1.06
rif1∆	TEL01L	X	169	-0.12	0.13	748	1.09
rif1∆	TEL01R	XY'	159	0.039	0.63	1020	1.41
rif1∆	TEL02L	XY'	220	-0.065	0.34	652	1.83
rif1∆	TEL02R	XY'	289	0.018	0.76	500	1.77
rif1∆	TEL03L	X	183	-0.063	0.39	775	0.953
rif1∆	TEL03R	XY'	224	0.094	0.16	637	1.76
rif1∆	TEL04L	X	191	-0.14	0.057	622	1.01
rif1∆	TEL04R	XY'	143	-0.11	0.2	933	1.59
rif1∆	TEL05L	XY'	183	-0.026	0.73	789	1.7
rif1∆	TEL05R	XY'	312	-0.12	0.031	554	1.79
rif1∆	TEL06L	XY'	231	-0.046	0.49	590	1.68
rif1∆	TEL06R	X	275	-0.01	0.86	535	1.09
rif1∆	TEL07L	X	153	0.052	0.52	823	1.15
rif1∆	TEL07R	XY'	207	-0.12	0.084	596	1.8
rif1∆	TEL08L	XY'	191	0.039	0.59	791	1.76
rif1∆	TEL08R	X	184	0.03	0.69	662	1
rif1∆	TEL09L	XY'	269	0.009	0.88	497	1.89
rif1∆	TEL09R	X	171	-0.12	0.11	684	1.19
rif1∆	TEL10L	XY'	255	-0.0035	0.96	532	1.79
rif1∆	TEL10R	X	173	0.039	0.61	681	1.08
rif1∆	TEL11L	X	202	-0.17	0.014	683	1.14
rif1∆	TEL11R	X	218	0.0011	0.99	576	1.07
rif1∆	TEL12L	XY'	255	0.025	0.69	527	1.81
rif1∆	TEL12R	XY'	182	-0.083	0.27	791	1.72
rif1∆	TEL13L	X	209	-0.0094	0.89	618	1.15
rif1∆	TEL13R	XY'	359	0.0039	0.94	444	1.89
rif1∆	TEL14L	XY'	264	-0.12	0.061	547	1.7
rif1∆	TEL14R	XY'	223	-0.018	0.79	658	1.84
rif1∆	TEL15L	X	162	-0.069	0.38	773	1.04
rif1∆	TEL15R	XY'	277	-0.14	0.016	609	1.8
rif1∆	TEL16L	XY'	218	-0.051	0.45	544	1.75
rif1∆	TEL16R	XY'	260	0.036	0.56	546	1.88
yku70∆	TEL01L	X	544	-0.24	1.1e-8	132	1.51
yku70∆	TEL01R	XY'	478	-0.17	1.4e-4	124	1.68
